country,country_code,income_group,method,region,year,outbound,increase_rate
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,1999,189,
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2000,379,100.529101
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2001,331,-12.664908
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2002,688,107.854985
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2003,562,-18.313953
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2004,1189,111.565836
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2005,1233,3.700589
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2006,1005,-18.491484
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2007,880,-12.437811
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2008,1267,43.977273
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2009,1346,6.235201
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2010,1718,27.637444
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2011,1967,14.493597
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2012,3129,59.074733
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2013,3961,26.589965
Albania,ALB,Upper middle income,VFN,Europe & Central Asia,2014,3882,-1.994446
Algeria,DZA,Upper middle income,VFN,Middle East & North Africa,2011,20153,
Algeria,DZA,Upper middle income,VFN,Middle East & North Africa,2012,25383,25.951471
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,1995,258,
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,1996,669,159.302326
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,1997,111,-83.408072
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,1998,262,136.036036
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,1999,37,-85.877863
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2000,351,848.648649
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2001,722,105.698006
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2005,501,-30.609418
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2006,439,-12.37525
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2008,229,-47.835991
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2009,325,41.921397
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2010,257,-20.923077
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2011,401,56.031128
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2012,400,-0.249377
American Samoa,ASM,Upper middle income,TFN,East Asia & Pacific,2013,425,6.25
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,1998,215,
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,1999,268,24.651163
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2000,475,77.238806
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2001,653,37.473684
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2002,712,9.035222
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2005,5849,721.488764
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2006,9636,64.74611
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2007,18500,91.988377
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2008,43035,132.621622
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2009,51900,20.599512
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2010,60577,16.71869
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2011,69907,15.401885
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2012,69334,-0.81966
Angola,AGO,Upper middle income,TFR,Sub-Saharan Africa,2013,84300,21.585369
Antigua and Barbuda,ATG,High income: nonOECD,TFR,Latin America & Caribbean,2011,342,
Antigua and Barbuda,ATG,High income: nonOECD,TFR,Latin America & Caribbean,2012,450,31.578947
Antigua and Barbuda,ATG,High income: nonOECD,TFR,Latin America & Caribbean,2013,540,20
Antigua and Barbuda,ATG,High income: nonOECD,TFR,Latin America & Caribbean,2014,652,20.740741
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,1995,6,
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,1996,35,483.333333
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,1997,105,200
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,1998,68,-35.238095
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,1999,158,132.352941
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2000,172,8.860759
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2001,225,30.813953
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2002,305,35.555556
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2003,345,13.114754
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2004,968,180.57971
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2005,1685,74.070248
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2006,3020,79.228487
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2007,7780,157.615894
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2008,8100,4.113111
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2009,8400,3.703704
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2010,8450,0.595238
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2011,9713,14.946746
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2012,9867,1.585504
Armenia,ARM,Lower middle income,TFR,Europe & Central Asia,2013,9924,0.577683
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,1995,42600,
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,1996,54000,26.760563
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,1997,65843,21.931481
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,1998,76544,16.252297
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,1999,92585,20.956574
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2000,120259,29.890371
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2001,157955,31.345679
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2002,190016,20.297553
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2003,176128,-7.308858
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2004,251300,42.680323
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2005,285031,13.422602
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2006,308484,8.228228
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2007,357557,15.907794
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2008,356428,-0.315754
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2009,356240,-0.052746
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2010,445860,25.157197
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2011,533370,19.627237
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2012,618820,16.020774
Australia,AUS,High income: OECD,VFR,East Asia & Pacific,2013,708770,14.535729
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2004,172361,
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2005,176777,2.562065
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2006,176680,-0.054871
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2007,171123,-3.145234
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2008,156190,-8.726472
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2009,155179,-0.647289
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2010,182282,17.465636
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2011,259944,42.605414
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2012,354657,36.435925
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2013,408509,15.184248
Austria,AUT,High income: OECD,TCER,Europe & Central Asia,2014,497925,21.888379
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2002,591,
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2003,1280,116.582064
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2004,1532,19.6875
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2005,1595,4.112272
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2006,2061,29.216301
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2007,2458,19.262494
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2008,7138,190.398698
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2009,6322,-11.431774
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2010,5846,-7.529263
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2011,6224,6.46596
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2012,5060,-18.701799
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2013,6465,27.766798
Azerbaijan,AZE,Upper middle income,VFR,Europe & Central Asia,2014,5930,-8.275329
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2000,503,
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2001,356,-29.224652
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2002,155,-56.460674
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2003,279,80
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2004,345,23.655914
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2005,290,-15.942029
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2006,278,-4.137931
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2007,206,-25.899281
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2008,265,28.640777
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2009,486,83.396226
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2010,384,-20.987654
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2011,682,77.604167
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2012,890,30.498534
Bahamas,BHS,High income: nonOECD,TFR,Latin America & Caribbean,2013,782,-12.134831
